from,to,value,for_embedding
200822_x_at,203554_x_at,1.747,849.86
200822_x_at,203625_x_at,-1.2,1.2
200822_x_at,203693_s_at,-1.578,1.578
200840_at,200853_at,-2.209,2.209
200840_at,200854_at,1.75,849.86
200840_at,200855_at,-3.281,3.281
200840_at,200996_at,-2.403,2.403
200840_at,201088_at,1.049,849.86
200840_at,201114_x_at,2.329,849.86
200840_at,201115_at,-1.749,1.749
200840_at,201170_s_at,-1.578,1.578
200840_at,201201_at,1.75,849.86
200840_at,201236_s_at,0.733,0.733
200840_at,201327_s_at,1.861,849.86
200840_at,201342_at,1.049,849.86
200840_at,201395_at,0.967,0.967
200840_at,201397_at,-0.727,0.727
200840_at,201584_s_at,1.349,849.86
200840_at,201755_at,-0.618,0.618
200840_at,201791_s_at,-0.729,0.729
200840_at,201970_s_at,-0.618,0.618
200840_at,201978_s_at,0.405,0.405
200840_at,202109_at,-1.578,1.578
200840_at,202117_at,-3.198,3.198
200840_at,202240_at,-0.618,0.618
200840_at,202270_at,1.962,1.962
200840_at,202307_s_at,-2.29,2.29
200840_at,202370_s_at,-1.232,1.232
200840_at,202580_x_at,-0.727,0.727
200840_at,202613_at,2.329,849.86
200840_at,202858_at,-1.578,1.578
200840_at,202954_at,-0.905,0.905
200840_at,203066_at,0.405,0.405
200840_at,203130_s_at,0.405,0.405
200840_at,203208_s_at,-1.15,1.15
200840_at,203266_s_at,-1.578,1.578
200840_at,203287_at,-0.729,0.729
200840_at,203345_s_at,-1.073,1.073
200840_at,203347_s_at,0.405,0.405
200840_at,203362_s_at,0.73,0.73
200840_at,203405_at,-0.905,0.905
200840_at,203422_at,-0.729,0.729
200840_at,203428_s_at,1.861,849.86
200840_at,203432_at,1.747,849.86
200840_at,203554_x_at,1.349,849.86
200840_at,203594_at,-1.222,1.222
200853_at,200854_at,-2.209,2.209
200853_at,200855_at,2.655,2.655
200853_at,201104_x_at,-2.728,2.728
200853_at,201140_s_at,1.325,1.325
200853_at,201195_s_at,0.672,0.672
200853_at,201197_at,-1.009,1.009
200853_at,201201_at,-2.209,2.209
200853_at,201236_s_at,-1.884,1.884
200853_at,201291_s_at,0.672,0.672
200853_at,201292_at,-0.6,0.6
200853_at,201394_s_at,-2.728,2.728
200853_at,201395_at,1.325,1.325
200853_at,201397_at,1.122,1.122
200853_at,201455_s_at,-2.728,2.728
200853_at,201479_at,-2.209,2.209
200853_at,201557_at,-2.728,2.728
200853_at,201584_s_at,-2.209,2.209
200853_at,201591_s_at,-2.728,2.728
200853_at,201663_s_at,-12.383,12.383
200853_at,201664_at,13.421,13.421
200853_at,201685_s_at,-2.728,2.728
200853_at,201710_at,-0.687,0.687
200853_at,201790_s_at,-0.6,0.6
200853_at,201791_s_at,-0.6,0.6
200853_at,201795_at,-0.6,0.6
200853_at,201897_s_at,3.292,849.86
200853_at,202095_s_at,-0.6,0.6
200853_at,202188_at,-0.687,0.687
200853_at,202270_at,1.662,1.662
200853_at,202276_at,-0.687,0.687
200853_at,202307_s_at,-1.197,1.197
200853_at,202338_at,-2.185,2.185
200853_at,202487_s_at,-0.687,0.687
200853_at,202503_s_at,-0.687,0.687
200853_at,202580_x_at,1.122,1.122
200853_at,202589_at,-1.884,1.884
200853_at,202690_s_at,3.292,849.86
200853_at,202779_s_at,-0.6,0.6
200853_at,202870_s_at,-0.687,0.687
200853_at,202954_at,1.122,1.122
200853_at,202962_at,1.325,1.325
200853_at,203022_at,-0.6,0.6
200853_at,203126_at,0.672,0.672
200853_at,203145_at,0.672,0.672
200853_at,203187_at,-2.728,2.728
200853_at,203208_s_at,-1.009,1.009
200853_at,203213_at,-0.687,0.687
200853_at,203214_x_at,-2.185,2.185
200853_at,203287_at,-0.6,0.6
200853_at,203358_s_at,-1.884,1.884
200853_at,203405_at,1.122,1.122
200853_at,203422_at,-0.6,0.6
200853_at,203463_s_at,0.672,0.672
200853_at,203484_at,-0.687,0.687
200853_at,203554_x_at,-2.209,2.209
200853_at,203625_x_at,1.931,1.931
200853_at,203696_s_at,-0.687,0.687
200854_at,200855_at,-3.281,3.281
200854_at,200996_at,-2.403,2.403
200854_at,201088_at,1.747,849.86
200854_at,201114_x_at,1.049,849.86
200854_at,201170_s_at,-1.578,1.578
200854_at,201201_at,1.75,849.86
200854_at,201236_s_at,0.733,0.733
200854_at,201342_at,2.329,849.86
200854_at,201395_at,0.967,0.967
200854_at,201397_at,-0.727,0.727
200854_at,201479_at,1.349,849.86
200854_at,201795_at,-0.729,0.729
200854_at,201890_at,-0.618,0.618
200854_at,201896_s_at,-1.222,1.222
200854_at,201978_s_at,0.405,0.405
200854_at,202109_at,-1.578,1.578
200854_at,202117_at,-3.198,3.198
200854_at,202200_s_at,1.861,849.86
200854_at,202270_at,1.962,1.962
200854_at,202307_s_at,-2.29,2.29
200854_at,202370_s_at,-1.232,1.232
200854_at,202580_x_at,-0.727,0.727
200854_at,202613_at,1.747,849.86
200854_at,202705_at,1.861,849.86
200854_at,202754_at,-1.749,1.749
200854_at,202779_s_at,-0.729,0.729
200854_at,202858_at,-1.578,1.578
200854_at,202954_at,-0.905,0.905
200854_at,203022_at,-0.729,0.729
200854_at,203046_s_at,-1.073,1.073
200854_at,203066_at,0.405,0.405
200854_at,203130_s_at,0.405,0.405
200854_at,203139_at,-0.618,0.618
200854_at,203208_s_at,-1.15,1.15
200854_at,203266_s_at,-1.578,1.578
200854_at,203347_s_at,0.405,0.405
200854_at,203362_s_at,0.73,0.73
200854_at,203405_at,-0.905,0.905
200854_at,203432_at,1.049,849.86
200854_at,203554_x_at,1.349,849.86
200854_at,203560_at,-0.618,0.618
200855_at,200996_at,12.335,849.86
200855_at,201077_s_at,-2.12,2.12
200855_at,201088_at,-2.403,2.403
200855_at,201114_x_at,-2.403,2.403
200855_at,201170_s_at,1.269,1.269
200855_at,201195_s_at,-0.682,0.682
200855_at,201197_at,-2.245,2.245
200855_at,201201_at,-3.281,3.281
200855_at,201202_at,0.804,0.804
200855_at,201236_s_at,1.412,1.412
200855_at,201266_at,-2.253,2.253
200855_at,201291_s_at,-0.682,0.682
200855_at,201327_s_at,-3.198,3.198
200855_at,201342_at,-3.198,3.198
200855_at,201397_at,4.016,4.016
200855_at,201479_at,-3.281,3.281
200855_at,201584_s_at,-3.281,3.281
200855_at,201710_at,1.168,1.168
200855_at,201755_at,0.804,0.804
200855_at,201761_at,1.269,1.269
200855_at,201833_at,1.269,1.269
200855_at,201890_at,0.804,0.804
200855_at,201896_s_at,-2.12,2.12
200855_at,201970_s_at,0.804,0.804
200855_at,201977_s_at,1.722,1.722
200855_at,201978_s_at,-0.897,0.897
200855_at,202105_at,1.722,1.722
200855_at,202107_s_at,0.804,0.804
200855_at,202109_at,1.269,1.269
200855_at,202117_at,12.335,849.86
200855_at,202174_s_at,-6.061,6.061
200855_at,202188_at,1.168,1.168
200855_at,202200_s_at,-3.198,3.198
200855_at,202240_at,0.804,0.804
200855_at,202270_at,-4.951,4.951
200855_at,202276_at,1.168,1.168
200855_at,202307_s_at,4.706,4.706
200855_at,202370_s_at,-3.8,3.8
200855_at,202487_s_at,1.168,1.168
200855_at,202503_s_at,1.168,1.168
200855_at,202580_x_at,4.016,4.016
200855_at,202589_at,1.412,1.412
200855_at,202613_at,-3.198,3.198
200855_at,202666_s_at,-3.198,3.198
200855_at,202705_at,-2.403,2.403
200855_at,202725_at,1.722,1.722
200855_at,202858_at,1.269,1.269
200855_at,202870_s_at,1.168,1.168
200855_at,202954_at,4.016,4.016
200855_at,203046_s_at,-2.253,2.253
200855_at,203066_at,-0.897,0.897
200855_at,203126_at,-0.682,0.682
200855_at,203130_s_at,-0.897,0.897
200855_at,203139_at,0.804,0.804
200855_at,203145_at,-0.682,0.682
200855_at,203188_at,1.722,1.722
200855_at,203208_s_at,-2.245,2.245
200855_at,203213_at,1.168,1.168
200855_at,203265_s_at,1.722,1.722
200855_at,203266_s_at,1.269,1.269
200855_at,203345_s_at,-2.253,2.253
200855_at,203347_s_at,-0.897,0.897
200855_at,203358_s_at,1.412,1.412
200855_at,203405_at,4.016,4.016
200855_at,203428_s_at,-2.403,2.403
200855_at,203432_at,-3.198,3.198
200855_at,203438_at,1.232,1.232
200855_at,203439_s_at,1.232,1.232
200855_at,203463_s_at,-0.682,0.682
200855_at,203484_at,1.168,1.168
200855_at,203554_x_at,-3.281,3.281
200855_at,203560_at,0.804,0.804
200855_at,203594_at,-2.12,2.12
200855_at,203625_x_at,2.028,2.028
200855_at,203693_s_at,1.269,1.269
200855_at,203696_s_at,1.168,1.168
200996_at,201041_s_at,-0.897,0.897
200996_at,201077_s_at,-2.253,2.253
200996_at,201088_at,-3.198,3.198
200996_at,201114_x_at,-3.198,3.198
200996_at,201115_at,-2.12,2.12
200996_at,201170_s_at,1.269,1.269
200996_at,201195_s_at,-0.682,0.682
200996_at,201196_s_at,-2.245,2.245
200996_at,201201_at,-2.403,2.403
200996_at,201236_s_at,1.412,1.412
200996_at,201291_s_at,-0.682,0.682
200996_at,201292_at,1.168,1.168
200996_at,201327_s_at,-3.281,3.281
200996_at,201342_at,-3.281,3.281
200996_at,201397_at,4.016,4.016
200996_at,201479_at,-2.403,2.403
200996_at,201584_s_at,-2.403,2.403
200996_at,201694_s_at,-0.897,0.897
200996_at,201710_at,0.804,0.804
200996_at,201761_at,1.269,1.269
200996_at,201790_s_at,1.168,1.168
200996_at,201791_s_at,1.168,1.168
200996_at,201795_at,1.168,1.168
200996_at,201833_at,1.269,1.269
200996_at,201896_s_at,-2.253,2.253
200996_at,201977_s_at,1.722,1.722
200996_at,202088_at,-0.897,0.897
200996_at,202095_s_at,1.168,1.168
200996_at,202105_at,1.722,1.722
200996_at,202109_at,1.269,1.269
200996_at,202117_at,12.335,849.86
200996_at,202174_s_at,-6.061,6.061
200996_at,202188_at,0.804,0.804
200996_at,202200_s_at,-3.281,3.281
200996_at,202270_at,-4.951,4.951
200996_at,202276_at,0.804,0.804
200996_at,202307_s_at,4.706,4.706
200996_at,202371_at,-0.897,0.897
200996_at,202487_s_at,0.804,0.804
200996_at,202503_s_at,0.804,0.804
200996_at,202580_x_at,4.016,4.016
200996_at,202589_at,1.412,1.412
200996_at,202613_at,-3.281,3.281
200996_at,202666_s_at,-3.281,3.281
200996_at,202690_s_at,2.655,2.655
200996_at,202705_at,-3.198,3.198
200996_at,202725_at,1.722,1.722
200996_at,202754_at,-2.12,2.12
200996_at,202779_s_at,1.168,1.168
200996_at,202858_at,1.269,1.269
200996_at,202870_s_at,0.804,0.804
200996_at,202954_at,4.016,4.016
200996_at,203022_at,1.168,1.168
200996_at,203126_at,-0.682,0.682
200996_at,203145_at,-0.682,0.682
200996_at,203188_at,1.722,1.722
200996_at,203213_at,0.804,0.804
200996_at,203223_at,-0.897,0.897
200996_at,203265_s_at,1.722,1.722
200996_at,203266_s_at,1.269,1.269
200996_at,203276_at,-2.12,2.12
200996_at,203287_at,1.168,1.168
200996_at,203358_s_at,1.412,1.412
200996_at,203362_s_at,-2.245,2.245
200996_at,203405_at,4.016,4.016
200996_at,203422_at,1.168,1.168
200996_at,203428_s_at,-3.198,3.198
200996_at,203432_at,-3.281,3.281
200996_at,203438_at,1.232,1.232
200996_at,203439_s_at,1.232,1.232
200996_at,203463_s_at,-0.682,0.682
200996_at,203484_at,0.804,0.804
200996_at,203554_x_at,-2.403,2.403
200996_at,203594_at,-2.253,2.253
200996_at,203625_x_at,2.028,2.028
200996_at,203693_s_at,1.269,1.269
200996_at,203696_s_at,0.804,0.804
201041_s_at,201115_at,-0.493,0.493
201041_s_at,201124_at,-0.462,0.462
201041_s_at,201281_at,-0.462,0.462
201041_s_at,201291_s_at,0.45,0.45
201041_s_at,201327_s_at,0.405,0.405
201041_s_at,201342_at,0.405,0.405
201041_s_at,201384_s_at,-0.462,0.462
201041_s_at,201663_s_at,-1.197,1.197
201041_s_at,201664_at,1.229,1.229
201041_s_at,202011_at,-0.462,0.462
201041_s_at,202200_s_at,0.405,0.405
201041_s_at,202307_s_at,0.407,0.407
201041_s_at,202371_at,0.258,849.86
201041_s_at,202590_s_at,-0.462,0.462
201041_s_at,202613_at,0.405,0.405
201041_s_at,202666_s_at,0.405,0.405
201041_s_at,202754_at,-0.493,0.493
201041_s_at,202808_at,-0.462,0.462
201041_s_at,202815_s_at,-0.462,0.462
201041_s_at,203071_at,0.318,849.86
201041_s_at,203130_s_at,0.318,849.86
201041_s_at,203223_at,0.258,849.86
201041_s_at,203276_at,-0.493,0.493
201041_s_at,203380_x_at,-0.462,0.462
201041_s_at,203432_at,0.405,0.405
201041_s_at,203463_s_at,0.225,0.225
201077_s_at,201114_x_at,-1.749,1.749
201077_s_at,201124_at,1.003,1.003
201077_s_at,201201_at,-1.222,1.222
201077_s_at,201236_s_at,-1.705,1.705
201077_s_at,201266_at,1.907,849.86
201077_s_at,201281_at,1.003,1.003
201077_s_at,201342_at,-1.073,1.073
201077_s_at,201384_s_at,1.003,1.003
201077_s_at,201397_at,-0.867,0.867
201077_s_at,201664_at,-3.036,3.036
201077_s_at,201755_at,0.73,0.73
201077_s_at,201896_s_at,2.047,849.86
201077_s_at,201970_s_at,0.73,0.73
201077_s_at,201978_s_at,-0.493,0.493
201077_s_at,202011_at,1.003,1.003
201077_s_at,202174_s_at,1.711,1.711
201077_s_at,202240_at,0.73,0.73
201077_s_at,202370_s_at,-1.865,1.865
201077_s_at,202580_x_at,-0.867,0.867
201077_s_at,202589_at,-1.705,1.705
201077_s_at,202590_s_at,1.003,1.003
201077_s_at,202666_s_at,-1.073,1.073
201077_s_at,202754_at,3.669,849.86
201077_s_at,202808_at,1.003,1.003
201077_s_at,202815_s_at,1.003,1.003
201077_s_at,202854_at,-0.963,0.963
201077_s_at,202954_at,-0.867,0.867
201077_s_at,203066_at,-0.493,0.493
201077_s_at,203130_s_at,-0.493,0.493
201077_s_at,203276_at,1.907,849.86
201077_s_at,203345_s_at,3.669,849.86
201077_s_at,203347_s_at,-0.493,0.493
201077_s_at,203358_s_at,-1.705,1.705
201077_s_at,203380_x_at,1.003,1.003
201077_s_at,203405_at,-0.867,0.867
201077_s_at,203554_x_at,-1.222,1.222
201077_s_at,203594_at,2.047,849.86
201088_at,201114_x_at,1.75,849.86
201088_at,201115_at,-1.073,1.073
201088_at,201170_s_at,-1.578,1.578
201088_at,201197_at,0.73,0.73
201088_at,201201_at,2.329,849.86
201088_at,201236_s_at,0.733,0.733
201088_at,201292_at,-0.618,0.618
201088_at,201327_s_at,1.861,849.86
201088_at,201342_at,2.329,849.86
201088_at,201395_at,0.967,0.967
201088_at,201397_at,-0.727,0.727
201088_at,201508_at,0.405,0.405
201088_at,201584_s_at,1.861,849.86
201088_at,201790_s_at,-0.618,0.618
201088_at,201896_s_at,-1.749,1.749
201088_at,201897_s_at,-2.209,2.209
201088_at,202095_s_at,-0.618,0.618
201088_at,202109_at,-1.578,1.578
201088_at,202117_at,-3.281,3.281
201088_at,202270_at,1.962,1.962
201088_at,202307_s_at,-2.29,2.29
201088_at,202409_at,0.405,0.405
201088_at,202503_s_at,-0.729,0.729
201088_at,202580_x_at,-0.727,0.727
201088_at,202613_at,1.049,849.86
201088_at,202858_at,-1.578,1.578
201088_at,202954_at,-0.905,0.905
201088_at,203046_s_at,-1.222,1.222
201088_at,203071_at,0.405,0.405
201088_at,203214_x_at,-1.15,1.15
201088_at,203249_at,0.405,0.405
201088_at,203266_s_at,-1.578,1.578
201088_at,203296_s_at,0.405,0.405
201088_at,203405_at,-0.905,0.905
201088_at,203428_s_at,1.349,849.86
201088_at,203432_at,1.747,849.86
201088_at,203484_at,-0.729,0.729
201088_at,203696_s_at,-0.729,0.729
201104_x_at,201140_s_at,-2.484,2.484
201104_x_at,201236_s_at,2.603,2.603
201104_x_at,201384_s_at,-2.217,2.217
201104_x_at,201557_at,5.023,849.86
201104_x_at,201897_s_at,-2.728,2.728
201104_x_at,202011_at,1.166,1.166
201104_x_at,202174_s_at,-3.914,3.914
201104_x_at,202370_s_at,1.602,1.602
201104_x_at,202580_x_at,0.991,0.991
201104_x_at,202590_s_at,2.855,2.855
201104_x_at,202690_s_at,-2.728,2.728
201104_x_at,202725_at,-3.026,3.026
201104_x_at,202954_at,-2.109,2.109
201104_x_at,202962_at,-5.954,5.954
201104_x_at,203188_at,-2.527,2.527
201104_x_at,203266_s_at,1.567,1.567
201104_x_at,203418_at,2.319,2.319
201104_x_at,203438_at,1.685,1.685
201104_x_at,203439_s_at,-0.734,0.734
201104_x_at,203625_x_at,-1.734,1.734
201104_x_at,203693_s_at,1.051,1.051
201114_x_at,201170_s_at,-1.578,1.578
201114_x_at,201197_at,0.73,0.73
201114_x_at,201201_at,1.747,849.86
201114_x_at,201236_s_at,0.733,0.733
201114_x_at,201266_at,-1.222,1.222
201114_x_at,201342_at,1.049,849.86
201114_x_at,201395_at,0.967,0.967
201114_x_at,201397_at,-0.727,0.727
201114_x_at,201508_at,0.405,0.405
201114_x_at,201791_s_at,-0.618,0.618
201114_x_at,201897_s_at,-2.209,2.209
201114_x_at,202109_at,-1.578,1.578
201114_x_at,202117_at,-3.281,3.281
201114_x_at,202200_s_at,1.861,849.86
201114_x_at,202270_at,1.962,1.962
201114_x_at,202276_at,-0.729,0.729
201114_x_at,202307_s_at,-2.29,2.29
201114_x_at,202409_at,0.405,0.405
201114_x_at,202487_s_at,-0.729,0.729
201114_x_at,202580_x_at,-0.727,0.727
201114_x_at,202613_at,1.747,849.86
201114_x_at,202705_at,1.349,849.86
201114_x_at,202754_at,-1.073,1.073
201114_x_at,202858_at,-1.578,1.578
201114_x_at,202954_at,-0.905,0.905
201114_x_at,203071_at,0.405,0.405
201114_x_at,203213_at,-0.729,0.729
201114_x_at,203214_x_at,-1.15,1.15
201114_x_at,203249_at,0.405,0.405
201114_x_at,203266_s_at,-1.578,1.578
201114_x_at,203287_at,-0.618,0.618
201114_x_at,203296_s_at,0.405,0.405
201114_x_at,203405_at,-0.905,0.905
201114_x_at,203422_at,-0.618,0.618
201114_x_at,203428_s_at,1.349,849.86
201114_x_at,203432_at,2.329,849.86
201114_x_at,203554_x_at,1.861,849.86
201115_at,201124_at,1.003,1.003
201115_at,201236_s_at,-1.705,1.705
201115_at,201281_at,1.003,1.003
201115_at,201327_s_at,-1.222,1.222
201115_at,201384_s_at,1.003,1.003
201115_at,201397_at,-0.867,0.867
201115_at,201479_at,-1.749,1.749
201115_at,201664_at,-3.036,3.036
201115_at,201694_s_at,-0.493,0.493
201115_at,201710_at,0.73,0.73
201115_at,201896_s_at,3.669,849.86
201115_at,202011_at,1.003,1.003
201115_at,202088_at,-0.493,0.493
201115_at,202117_at,-2.253,2.253
201115_at,202174_s_at,1.711,1.711
201115_at,202188_at,0.73,0.73
201115_at,202371_at,-0.493,0.493
201115_at,202580_x_at,-0.867,0.867
201115_at,202589_at,-1.705,1.705
201115_at,202590_s_at,1.003,1.003
201115_at,202705_at,-1.073,1.073
201115_at,202754_at,2.047,849.86
201115_at,202808_at,1.003,1.003
201115_at,202815_s_at,1.003,1.003
201115_at,202870_s_at,0.73,0.73
201115_at,202954_at,-0.867,0.867
201115_at,203046_s_at,1.907,849.86
201115_at,203223_at,-0.493,0.493
201115_at,203276_at,2.047,849.86
201115_at,203345_s_at,3.669,849.86
201115_at,203358_s_at,-1.705,1.705
201115_at,203380_x_at,1.003,1.003
201115_at,203405_at,-0.867,0.867
201115_at,203418_at,-0.963,0.963
201115_at,203432_at,-1.222,1.222
201115_at,203594_at,1.907,849.86
201124_at,201140_s_at,-1.204,1.204
201124_at,201266_at,1.003,1.003
201124_at,201395_at,-3.141,3.141
201124_at,201455_s_at,-2.217,2.217
201124_at,201508_at,-0.462,0.462
201124_at,201591_s_at,1.166,1.166
201124_at,201663_s_at,3.008,3.008
201124_at,201664_at,-3.666,3.666
201124_at,201694_s_at,-0.462,0.462
201124_at,201761_at,0.915,0.915
201124_at,201833_at,-0.783,0.783
201124_at,201896_s_at,1.003,1.003
201124_at,201930_at,-2.537,2.537
201124_at,201978_s_at,-0.462,0.462
201124_at,202088_at,-0.462,0.462
201124_at,202174_s_at,2.184,2.184
201124_at,202270_at,-0.826,0.826
201124_at,202371_at,-0.462,0.462
201124_at,202409_at,-0.462,0.462
201124_at,202589_at,1.892,1.892
201124_at,202590_s_at,0.987,849.86
201124_at,202754_at,1.003,1.003
201124_at,202815_s_at,2.511,849.86
201124_at,202962_at,-1.587,1.587
201124_at,203046_s_at,1.003,1.003
201124_at,203066_at,-0.462,0.462
201124_at,203071_at,-0.462,0.462
201124_at,203130_s_at,-0.462,0.462
201124_at,203188_at,-1.831,1.831
201124_at,203223_at,-0.462,0.462
201124_at,203249_at,-0.462,0.462
201124_at,203276_at,1.003,1.003
201124_at,203296_s_at,-0.462,0.462
201124_at,203345_s_at,1.003,1.003
201124_at,203347_s_at,-0.462,0.462
201124_at,203358_s_at,1.308,1.308
201124_at,203380_x_at,0.987,849.86
201124_at,203438_at,-0.713,0.713
201124_at,203594_at,1.003,1.003
201140_s_at,201196_s_at,-1.149,1.149
201140_s_at,201197_at,-1.373,1.373
201140_s_at,201236_s_at,-1.901,1.901
201140_s_at,201281_at,-2.25,2.25
201140_s_at,201327_s_at,0.967,0.967
201140_s_at,201384_s_at,-1.587,1.587
201140_s_at,201397_at,1.244,1.244
201140_s_at,201455_s_at,-5.954,5.954
201140_s_at,201479_at,0.967,0.967
201140_s_at,201557_at,-2.484,2.484
201140_s_at,201584_s_at,0.967,0.967
201140_s_at,201897_s_at,1.325,1.325
201140_s_at,201977_s_at,2.114,2.114
201140_s_at,202011_at,-3.141,3.141
201140_s_at,202105_at,2.114,2.114
201140_s_at,202174_s_at,-4.342,4.342
201140_s_at,202200_s_at,0.967,0.967
201140_s_at,202270_at,2.422,2.422
201140_s_at,202307_s_at,-1.769,1.769
201140_s_at,202338_at,-1.373,1.373
201140_s_at,202590_s_at,-3.141,3.141
201140_s_at,202666_s_at,0.967,0.967
201140_s_at,202690_s_at,1.325,1.325
201140_s_at,202705_at,0.967,0.967
201140_s_at,202725_at,1.241,1.241
201140_s_at,202808_at,-1.587,1.587
201140_s_at,202815_s_at,-1.204,1.204
201140_s_at,202954_at,1.966,1.966
201140_s_at,202962_at,5.666,849.86
201140_s_at,203187_at,-5.954,5.954
201140_s_at,203208_s_at,-1.149,1.149
201140_s_at,203214_x_at,-1.149,1.149
201140_s_at,203362_s_at,-1.373,1.373
201140_s_at,203380_x_at,-2.25,2.25
201140_s_at,203405_at,1.861,1.861
201140_s_at,203428_s_at,0.967,0.967
201140_s_at,203438_at,-1.711,1.711
201140_s_at,203439_s_at,2.26,2.26
201140_s_at,203554_x_at,0.967,0.967
201170_s_at,201195_s_at,-0.459,0.459
201170_s_at,201197_at,-1.346,1.346
201170_s_at,201201_at,-1.578,1.578
201170_s_at,201291_s_at,-0.459,0.459
201170_s_at,201342_at,-1.578,1.578
201170_s_at,201397_at,1.771,1.771
201170_s_at,201591_s_at,1.051,1.051
201170_s_at,201663_s_at,8.731,8.731
201170_s_at,201664_at,-6.393,6.393
201170_s_at,201761_at,2.434,849.86
201170_s_at,201833_at,2.434,849.86
201170_s_at,202105_at,-1.718,1.718
201170_s_at,202109_at,1.463,849.86
201170_s_at,202117_at,1.269,1.269
201170_s_at,202174_s_at,-3.195,3.195
201170_s_at,202233_s_at,-1.351,1.351
201170_s_at,202270_at,-0.951,0.951
201170_s_at,202307_s_at,2.308,2.308
201170_s_at,202338_at,-1.346,1.346
201170_s_at,202580_x_at,2.031,2.031
201170_s_at,202590_s_at,-0.783,0.783
201170_s_at,202613_at,-1.578,1.578
201170_s_at,202858_at,2.683,849.86
201170_s_at,202954_at,1.744,1.744
201170_s_at,203126_at,-0.459,0.459
201170_s_at,203145_at,-0.459,0.459
201170_s_at,203187_at,1.567,1.567
201170_s_at,203188_at,1.711,1.711
201170_s_at,203265_s_at,3.38,3.38
201170_s_at,203266_s_at,2.683,849.86
201170_s_at,203362_s_at,-1.346,1.346
201170_s_at,203380_x_at,0.915,0.915
201170_s_at,203405_at,1.264,1.264
201170_s_at,203432_at,-1.578,1.578
201170_s_at,203439_s_at,0.797,0.797
201170_s_at,203463_s_at,-0.459,0.459
201170_s_at,203693_s_at,1.067,849.86
201195_s_at,201236_s_at,-0.807,0.807
201195_s_at,201291_s_at,0.686,849.86
201195_s_at,201397_at,-0.798,0.798
201195_s_at,201508_at,0.225,0.225
201195_s_at,201663_s_at,-3.318,3.318
201195_s_at,201664_at,2.074,2.074
201195_s_at,201761_at,-0.459,0.459
201195_s_at,201833_at,-0.459,0.459
201195_s_at,201897_s_at,0.672,0.672
201195_s_at,201978_s_at,0.45,0.45
201195_s_at,202109_at,-0.459,0.459
201195_s_at,202117_at,-0.682,0.682
201195_s_at,202174_s_at,2.165,2.165
201195_s_at,202307_s_at,0.448,0.448
201195_s_at,202371_at,0.225,0.225
201195_s_at,202580_x_at,-0.798,0.798
201195_s_at,202589_at,-0.807,0.807
201195_s_at,202690_s_at,0.672,0.672
201195_s_at,202858_at,-0.459,0.459
201195_s_at,202954_at,-0.798,0.798
201195_s_at,203071_at,0.45,0.45
201195_s_at,203126_at,0.737,849.86
201195_s_at,203130_s_at,0.225,0.225
201195_s_at,203145_at,0.737,849.86
201195_s_at,203223_at,0.45,0.45
201195_s_at,203266_s_at,-0.459,0.459
201195_s_at,203358_s_at,-0.807,0.807
201195_s_at,203405_at,-0.798,0.798
201195_s_at,203438_at,-0.273,0.273
201195_s_at,203439_s_at,-0.273,0.273
201195_s_at,203463_s_at,0.686,849.86
201195_s_at,203625_x_at,0.892,0.892
201195_s_at,203693_s_at,-0.459,0.459
201196_s_at,201197_at,-1.457,849.86
201196_s_at,201236_s_at,-1.369,1.369
201196_s_at,201342_at,-1.15,1.15
201196_s_at,201395_at,-1.373,1.373
201196_s_at,201397_at,-1.502,1.502
201196_s_at,201479_at,0.73,0.73
201196_s_at,201584_s_at,0.73,0.73
201196_s_at,201761_at,-1.346,1.346
201196_s_at,201833_at,-1.346,1.346
201196_s_at,201897_s_at,-2.185,2.185
201196_s_at,201977_s_at,-1.347,1.347
201196_s_at,202105_at,-1.347,1.347
201196_s_at,202174_s_at,4.369,4.369
201196_s_at,202270_at,-2.597,2.597
201196_s_at,202307_s_at,2.392,2.392
201196_s_at,202338_at,-1.457,849.86
201196_s_at,202370_s_at,1.41,1.41
201196_s_at,202580_x_at,-1.502,1.502
201196_s_at,202613_at,-1.15,1.15
201196_s_at,202690_s_at,-1.009,1.009
201196_s_at,202725_at,-1.347,1.347
201196_s_at,202954_at,-1.335,1.335
201196_s_at,202962_at,-1.149,1.149
201196_s_at,203188_at,1.283,1.283
201196_s_at,203208_s_at,3.135,849.86
201196_s_at,203214_x_at,3.135,849.86
201196_s_at,203265_s_at,1.283,1.283
201196_s_at,203362_s_at,0.994,849.86
201196_s_at,203405_at,-1.335,1.335
201196_s_at,203432_at,-1.15,1.15
201196_s_at,203438_at,-1.213,1.213
201196_s_at,203554_x_at,0.73,0.73
201196_s_at,203625_x_at,1.047,1.047
201196_s_at,203693_s_at,-1.346,1.346
201197_at,201395_at,-1.149,1.149
201197_at,201397_at,-1.335,1.335
201197_at,201479_at,-1.15,1.15
201197_at,201584_s_at,-1.15,1.15
201197_at,201977_s_at,1.283,1.283
201197_at,202105_at,1.283,1.283
201197_at,202109_at,-1.346,1.346
201197_at,202174_s_at,4.369,4.369
201197_at,202270_at,-2.597,2.597
201197_at,202307_s_at,2.392,2.392
201197_at,202338_at,3.135,849.86
201197_at,202580_x_at,-1.335,1.335
201197_at,202589_at,-1.369,1.369
201197_at,202690_s_at,-2.185,2.185
201197_at,202725_at,1.283,1.283
201197_at,202858_at,-1.346,1.346
201197_at,202954_at,-1.502,1.502
